Product Name,Price (₦),Image Link,Description
300L Scanfrost Inverter Solar Freezeri (MAXI ( 24V 60AH Generator + 40V PWM + 2 x 600W panels),"2,274,000",https://koolbuy-assets.s3.af-south-1.amazonaws.com/75ea71/prods/O3uIBuVKAAQlLsNflBm4VxQ3pPe5eEQzZqfXEdqg.jpg,"300L Scanfrost Inverter Solar Freezeri (MAXI ( 24V 60AH Generator + 40V PWM + 2 x 600W panels) Upgrade to uninterrupted, energy-saving cooling with the Kool-Scanfrost 300L Chest Freezer , now paired with a 24V 60Ah generator , 40V PWM charge controller , and 2 powerful 600W solar panels . This all-in-one solution is ideal for households and small businesses looking to beat irregular power supply while saving on electricity bills. Equipped with an inverter compressor , this freezer cuts energy..."
Koolboks 198L AC Inverter Freezer Alone,"704,000",https://koolbuy-assets.s3.af-south-1.amazonaws.com/75ea71/prods/lgxXuRgA7M5UWOwJxXw6NgKJ8N4t5Wv3btbqVHuS.png,"Koolboks 198L AC Inverter Freezer – Compact, Efficient & Reliable Cold Storage The Koolboks 198L AC Inverter Freezer offers a smart and energy-efficient solution for keeping your food and perishables frozen. Compact yet spacious, it&#39;s perfect for homes, small shops, or businesses looking for dependable cold storage with reduced energy costs. Its inverter technology ensures stable performance and lower power consumption—even in areas with inconsistent electricity. Key Features: ✅ 198-Litre..."
Koolboks 198L AC Inverter Freezer (freezer + 60Ah pedestal + 3*300w solar panel),"2,490,000",https://koolbuy-assets.s3.af-south-1.amazonaws.com/75ea71/prods/v6sVtu4lcqUKWsMtIj5MhAyOnApdLWvvop5Mdi6S.png,"Koolboks 198L AC Inverter Freezer (freezer + 60Ah pedestal + 3*300w solar panel) – Compact Solar-Powered Cooling for Homes & Small Businesses Experience uninterrupted, energy-efficient cooling with the Koolboks 198L AC Freezer , now bundled with a 60Ah pedestal battery and 3 powerful 300W solar panels . Perfect for homes, small shops, and retail outlets, this all-in-one setup offers reliable cold storage even in areas with frequent power outages or no grid access. Designed for performance and..."
Koolboks 208L DC Freezer (Freezer + 45Ah Pedestal),"1,950,000",https://koolbuy-assets.s3.af-south-1.amazonaws.com/75ea71/prods/6SACAxpWUsxz7x9uxKbeKnV10pDIQWzkoNPjChdp.png,"Koolboks 208L DC Solar Freezer (with 45Ah Pedestal Battery) Reliable Cooling, Anywhere. Powered by the Sun. The Koolboks 208L DC Freezer is a smart, sustainable, and off-grid refrigeration solution designed for homes, small businesses, and remote areas with limited or unreliable power supply. It combines cutting-edge energy efficiency with the power of solar energy, making it ideal for preserving food, beverages, vaccines, and perishables without depending on the grid. Key Components: 208L Ko..."
Koolboks 195L DC Ice Makers (Freezer + 150Ah Battery box + 4* 300w solar panel),"3,235,000",https://koolbuy-assets.s3.af-south-1.amazonaws.com/75ea71/prods/yBXZlf4q5ejoIfSAxZnDU7gHEDg0D7uEMg2necQ8.png,"Koolboks 195L DC Ice Maker Package (Freezer + 150Ah Battery Box + 4 x 300W Solar Panels) Your Reliable, Off-Grid Ice Production & Cold Storage Solution The Koolboks 195L DC Ice Maker Package is a complete solar-powered refrigeration system designed for continuous ice production and cold storage in off-grid environments. Perfect for commercial users, small-scale vendors, remote communities, and businesses that depend on a reliable supply of ice and frozen goods—this system delivers high-perfor..."
Koolboks 198L AC Inverter Freezer  ( freezer + 60Ah pedestal ),"2,013,000",https://koolbuy-assets.s3.af-south-1.amazonaws.com/75ea71/prods/RLJ8ENh8jAblBSr0kGywcX3b8gQj6NmZriXUECLE.jpg,"Koolboks 198L AC Inverter Freezer (Freezer + 60Ah Pedestal) Upgrade your cold storage with the Koolboks 198L AC Inverter Freezer, now paired with a powerful 60Ah pedestal for enhanced performance and backup support. Perfect for homes, shops, or small businesses, this energy-efficient freezer delivers rapid cooling, low noise, and reliable storage—even during power cuts. ✨ Key Highlights : 198L Capacity : Ample space for perishables, groceries, and bulk storage. Inverter Technology : Efficient..."
300L Scanfrost Inverter Solar Freezer Alone,"728,000",https://koolbuy-assets.s3.af-south-1.amazonaws.com/75ea71/prods/vln7QapFkPG7r7JrshUj1QjwCZTgY5DV2LNTpTvD.png,"300L Scanfrost Inverter Solar Freezer Alone The Kool-Scanfrost 300L Chest Freezer is a reliable, energy-saving solution designed to meet the daily cooling needs of Nigerian homes and small businesses. Built to perform even under low voltage and frequent power interruptions, it ensures your food and perishables stay safe and fresh. Key Features: ✅ 300L Capacity – Generous storage for frozen foods, meat, drinks, and more ✅ 3-in-1 Convertible Function – Use it as a freezer, fridge, or bottle coo..."
Koolboks 100Ah AC battery,"1,662,370",https://koolbuy-assets.s3.af-south-1.amazonaws.com/75ea71/prods/lTrltBUgZVyPvoYYwxADIiv82SQa6rXeYU0NYG0v.png,"Koolboks 100Ah AC Battery Box – High-Capacity Portable Power for Off-Grid & Backup Use Product Overview: The Koolboks 100Ah AC Battery Box is a heavy-duty energy storage solution built for users who need sustained and versatile power. Whether for off-grid locations, backup during outages, or powering appliances and tools on the move, this box combines rugged performance with user-friendly features in a compact design. Key Features: 🔋 100Ah High-Capacity Battery Powers a wide range of applianc..."
Koolboks 150Ah AC battery,"1,500,000",https://koolbuy-assets.s3.af-south-1.amazonaws.com/75ea71/prods/EmrYPpX3O0EbSv4fYb1Y1bA7z4lUHSvyOCLyi2Wv.png,"🔋 Koolboks 150Ah AC Battery – Reliable Power for Every Need! ⚡ Say goodbye to unexpected blackouts and hello to uninterrupted power with the Koolboks 150Ah AC Battery . Built for durability and high performance, this long-lasting battery is perfect for homes, small businesses, cold storage, and energy backup systems. ✅ Massive 150Ah Capacity – Store more power for longer usage ✅ Pure AC Output – Stable and safe for all your appliances ✅ Seamless KoolHome Integration – Perfect fit for Koolboks..."
Koolboks 60Ah AC battery,"1,287,600",https://koolbuy-assets.s3.af-south-1.amazonaws.com/75ea71/prods/ToTGBNprgLJGtq6DfrVdsv39Cu5aNaotBtBq08Aa.png,"Koolboks 60Ah AC Battery Box – Portable Power Solution for Home & Business Overview: The Koolboks 60Ah AC Battery Box is a high-performance, compact energy storage system designed to deliver reliable and versatile power on the go. Built to meet the demands of both residential and commercial users, it combines solar compatibility, multiple output ports, and real-time voltage monitoring in a sleek, durable enclosure. Key Features: 🔋 Battery Capacity: 60Ah capacity suitable for powering small ap..."
600L Scanfrost Inverter Solar Freezer ( Maxi (Battery Integrated Freezer + 3 x 600W panels ),"3,950,000",https://koolbuy-assets.s3.af-south-1.amazonaws.com/75ea71/prods/VMbgorWYpjchoskjBYFQI7HcvJA8FRmigD7AiBZO.jpg,"600L Scanfrost Inverter Solar Freezer (Maxi (Battery Integrated Freezer + 3 x 600W panels) The 600L Kool-Scanfrost Chest Freezer with integrated battery and 3600W solar panels is the ultimate off-grid cooling solution for Nigerian homes and businesses. With inverter compressor technology, solar compatibility, and a built-in battery backup, this freezer ensures uninterrupted performance—even during long power outages. Designed to handle high-demand storage, it combines a spacious 600-liter cap..."
Kool - Scanfrost 600L Inverter Solar Freezer + pedestal,"1,406,000",https://koolbuy-assets.s3.af-south-1.amazonaws.com/75ea71/prods/qVyLfKicB5XjWAILRRVEzkOZWNQx9EQWedha62L8.jpg,"Product Overview The Kool – Scanfrost 600 L Inverter Solar Freezer with Pedestal Stand is an ultra-capacity, energy-smart freezing solution engineered for reliability, efficiency, and off-grid resilience. With its massive 600-litre storage volume, advanced inverter technology , and seamless solar compatibility , this freezer delivers unmatched performance for large-scale commercial needs, community services, or households aiming for energy independence. Feature Highlights Capacity & Design 60..."
Koolboks 600L AC Inverter Solar Freezer Alone,"1,468,000",https://koolbuy-assets.s3.af-south-1.amazonaws.com/75ea71/prods/2TkqPvsbDbwl50m05yxHa31PSiyTmNIiaYegIG9H.jpg,"Koolboks 600L AC Inverter Freezer – Advanced Cooling with Ice Battery Backup Experience reliable, energy-efficient freezing with the Koolboks 600L AC Inverter Freezer , built to meet the needs of large households, supermarkets, and commercial operations. Designed with cutting-edge Ice Battery Technology , this freezer keeps your items frozen even during power outages—ensuring uninterrupted cooling when you need it most. With a generous 600-liter capacity and inverter-compatible AC power, it c..."
Koolboks 600L AC Inverter Solar Freezer ( Freezer + 100Ah Pedestal + 6* 300w Solar Panel ),"3,950,000",https://koolbuy-assets.s3.af-south-1.amazonaws.com/75ea71/prods/b4n31nCDHhlnl0eKUwnPs85LxPUJVLU63H6uGjuy.jpg,"Koolboks 600L AC Inverter Solar Freezer ( Freezer + 100Ah Pedestal + 6* 300w Solar Panel ) – Reliable Off-Grid Cooling Solution Experience uninterrupted, energy-efficient cooling with the Koolboks 600L AC Inverter Freezer , now bundled with a 100Ah pedestal battery and 6 powerful 300W solar panels . Built for homes, shops, supermarkets, and remote locations, this all-in-one solution offers exceptional performance even in areas with unstable or no electricity. With a spacious 600-liter capacit..."
Koolboks 600L AC Inverter Solar Freezer (Freezer + 100Ah Pedestal),"3,152,000",https://koolbuy-assets.s3.af-south-1.amazonaws.com/75ea71/prods/HbdyOBogH1VEKey84DCaJno9Ikcs2VPrX5r7N0bJ.png,"Koolboks 600L AC Inverter Solar Freezer (Freezer + 100Ah Pedestal) Experience uninterrupted, high-capacity cold storage with the Koolboks 600L AC Inverter Solar Freezer—now bundled with a powerful 100Ah pedestal battery. Designed for homes, supermarkets, restaurants, and off-grid locations, it combines advanced Ice Battery Technology with dual power options (AC + Solar) to keep your goods perfectly frozen, even during long outages. 🔹 Key Features : Massive 600L Capacity – Ideal for commercial..."
Koolboks 538L Midi Freezer (Freezer + 100Ah Pedestal + 4* 300w solar panels),"3,607,000",https://koolbuy-assets.s3.af-south-1.amazonaws.com/75ea71/prods/2NyoJQbq3rYhHEXfL8dJ9JkurFq78vs0EbsPAuBX.jpg,"Koolboks 538L Midi Solar Freezer Package (Freezer + 100Ah Pedestal Battery + 4 x 300W Solar Panels) Maximum Storage. Minimal Power Dependence. The Koolboks 538L Midi Freezer Package is a high-capacity, solar-powered freezing solution designed for homes, businesses, and remote locations with limited or no access to grid electricity. Engineered to meet the demands of large-volume storage, this package features a 538-liter DC freezer , a durable 100Ah lithium pedestal battery , and 4 powerful 30..."
Koolboks 538L Maxi Freezer (Freezer + 100Ah Pedestal + 5* 300w Solar panels),"3,607,000",https://koolbuy-assets.s3.af-south-1.amazonaws.com/75ea71/prods/npoBfbM01uPCA2e7KtcmPz90r2p4P2K21ORULFw5.jpg,"Koolboks 538L Maxi Solar Freezer Package (Freezer + 100Ah Pedestal Battery + 5 x 300W Solar Panels) Large-Capacity, Solar-Powered Freezing for Off-Grid Reliability The Koolboks 538L Solar Freezer Package is a complete, high-capacity cold storage solution designed for homes, businesses, and remote areas where consistent electricity supply is a challenge. Combining a powerful 538-liter DC freezer with a 100Ah lithium pedestal battery and 5 high-efficiency 300W solar panels, this system delivers..."
Koolboks 538L Freezer (Freezer + 100Ah pedestal),"2,840,000",https://koolbuy-assets.s3.af-south-1.amazonaws.com/75ea71/prods/FXKOfx8799znuHumSyIKn24LwphNZx4RW4XUbNXe.png,"Koolboks 538L Solar DC Freezer (with 100Ah Pedestal Battery) High-Capacity, Off-Grid Freezing Power for Homes & Businesses The Koolboks 538L Freezer with integrated 100Ah Pedestal Battery is a heavy-duty, solar-compatible cold storage solution designed for large households, commercial users, and off-grid businesses. Built with advanced DC refrigeration technology, this unit offers reliable, energy-efficient freezing, powered entirely by solar energy or battery backup—making it ideal for regio..."
Koolboks 538L DC Solar Freezer Alone,"1,516,000",https://koolbuy-assets.s3.af-south-1.amazonaws.com/75ea71/prods/9v3B0p27epv0xp24aRc0cTM4IgGALyGmWXLGdKvl.jpg,"Koolboks 538L Solar-Powered Freezer—Reliable Cooling for Homes & Businesses The Koolboks 538L Solar-Powered Freezer is the perfect solution for businesses, homes, and off-grid areas in need of a dependable, energy-efficient refrigeration system. Designed to work seamlessly with solar power , this freezer provides uninterrupted cooling—even in areas with frequent power outages. With a spacious 538-liter capacity and advanced battery storage technology, it offers long-lasting cooling and eco-fr..."
Koolboks 530L AC Inverter Freezer Alone,"1,516,000",https://koolbuy-assets.s3.af-south-1.amazonaws.com/75ea71/prods/j1jN77h6AsenGWztVZwoN5ZD0KTiuSfdMH06wraV.jpg,"Koolboks 530L Solar-Compatible Freezer—High-Capacity Cooling for Homes & Businesses The Koolboks 530L Freezer is a reliable, high-capacity refrigeration solution designed to meet the needs of households, small businesses, and commercial spaces. Built with dual power capability and innovative cooling technology , this freezer ensures uninterrupted performance—even in areas with inconsistent electricity. Whether you&#39;re preserving perishables for a supermarket, restaurant, or family use, the..."
Koolboks 530L AC freezer  (Koolboks freezer + 100Ah Pedestal),"3,199,000",https://koolbuy-assets.s3.af-south-1.amazonaws.com/75ea71/prods/y1r4ogsqVZaxQAEeBlSg1J8Iumvkit4qTRbdFM1C.jpg,"Koolboks 530L AC Freezer + 100Ah Pedestal Battery Box – Reliable Cooling, Day and Night Overview: The Koolboks 530L AC Freezer combined with the 100Ah Pedestal Battery Box is a powerful, energy-efficient cold storage solution designed for businesses, homes, medical facilities, and off-grid locations. Whether you're storing frozen food, medical supplies, or beverages, this combo guarantees consistent performance, even during power outages. ✅ Key Features 🧊 Koolboks 530L AC Freezer Ultra-Spacio..."
Koolboks 530L AC freezer  (Koolboks freezer + 100Ah Pedestal + 6*300w solar panel),"3,998,000",https://koolbuy-assets.s3.af-south-1.amazonaws.com/75ea71/prods/fUorC6epD1191ozfX5DmOSax4NPWRqtdD0tctRT1.jpg,"Koolboks 530L AC Solar Freezer Package (530L Freezer + 100Ah Battery Pedestal + 6 300W Solar Panels) Reliable Cooling. Total Energy Independence. Built for Africa. 🔧 Product Overview: The Koolboks 530L AC Freezer Package is a high-capacity, solar-compatible cold storage solution designed for heavy-duty use in regions with unstable or no grid power. Featuring a powerful 530-liter freezer , an integrated 100Ah lithium battery pedestal , and 6 high-efficiency 300W solar panels , this package del..."
Koolboks 320W Solar Panel,"103,000",https://koolbuy-assets.s3.af-south-1.amazonaws.com/75ea71/prods/BG3lbSUPUryjQf1SABDjwEjIn5VEYMSG3xXx9Yw5.png,"Koolboks 320W Solar Panel — Product Overview Power & Efficiency The Koolboks 320W Solar Panel delivers a robust 320 watts of nominal power , making it a strong performer for both off-grid and grid-tied systems. Designed for high-efficiency performance, it optimally harnesses solar energy to power refrigeration, lighting, or other DC loads. Design & Build Quality Crafted for durability, the panel features a weather-resistant tempered glass surface and robust anodized aluminum framing. It's bui..."
Kool-242L Somotex - Glass Top Freezer + Pedestal stand,"554,000",https://koolbuy-assets.s3.af-south-1.amazonaws.com/75ea71/prods/Skcl5kZezb9K3aqTQIy1BovtKnt3E19xLKsgs7N0.jpg,"Product Description – Bruhm 242L Somotex Glass Top Freezer + Pedestal Stand The Bruhm 242L Somotex Glass Top Freezer is a high-performance chest freezer designed to give you reliable cooling and stylish presentation in one sleek package. With a generous 242-litre capacity , it provides ample storage space for frozen foods, beverages, and bulk purchases – making it ideal for both commercial use and large-family households . Its durable glass sliding lids allow you to conveniently view the cont..."
219L Thermocool Inverter Solar Freezer Alone + pedestals,"900,000",https://koolbuy-assets.s3.af-south-1.amazonaws.com/75ea71/prods/kH2APDDBFdvdElXzxjskac0GRqAAY4fj6jmNNnYK.jpg,"219L Thermocool Inverter Solar Freezer Alone + pedestals ✅ Energy & Solar Efficiency 100% Solar Ready – Runs efficiently on solar power, reducing electricity bills. Inverter Technology – Optimizes energy use, consuming less power while maintaining cooling. Low Voltage Operation – Works even in areas with unstable or low power supply. ❄️ Cooling & Storage Fast Freeze Mode – Quickly freezes food and drinks within hours. 219L Large Capacity – Spacious enough for bulk storage (great for families,..."
300L Scanfrost Inverter Solar Freezer + pedestal,"728,000",https://koolbuy-assets.s3.af-south-1.amazonaws.com/75ea71/prods/hQ5OVtYNkk5qOOECKo6MP1vGxNKniC5TWIcvuN5u.jpg,"Product Description – Scanfrost 300L Inverter Solar Freezer with Pedestal Stand The Scanfrost 300L Inverter Solar Freezer is an energy-efficient deep freezer built specifically for areas with limited or inconsistent power supply. Featuring advanced inverter technology and solar-compatibility , it allows you to keep food and perishables fully preserved while significantly reducing power costs and dependency on the grid. With a generous 300-litre storage capacity , it is perfectly suited for la..."
Kool Thermocool 60ah pedestal battery for 219L,"1,287,600",https://koolbuy-assets.s3.af-south-1.amazonaws.com/75ea71/prods/wEeM7qasRrtXR7btPFP2Q5eDFRHtqkn68AGyzW67.jpg,"Thermocool 60Ah AC Battery Box – Portable Power Solution for Home & Business Overview The Thermocool 60Ah AC Battery Box is a reliable, high-performance portable energy storage system designed for both home and business use. Compact yet powerful, it supports solar charging, multiple output options, and real-time monitoring—all within a durable and easy-to-carry design. Whether for backup during power outages or off-grid applications, this unit ensures seamless power anytime, anywhere. Key Fea..."
Kool Thermocool 100ah pedestal battery for 519L,"1,662,370",https://koolbuy-assets.s3.af-south-1.amazonaws.com/75ea71/prods/CiDh8qqq0Gm24gJXEduF6qtTksoYftP17mgSsf1z.jpg,"Thermocool 100Ah Pedestal Battery – Reliable Backup Power for 519L Appliances Overview The Thermocool 100Ah Pedestal Battery is specially designed to provide dependable backup power for large-capacity appliances, including the Thermocool 519L refrigerator/freezer range. Built with durability, efficiency, and long-lasting performance in mind, this battery ensures your appliances keep running seamlessly during power outages or off-grid use. Key Features 🔋 High-Capacity Backup 100Ah capacity del..."
Kool Scanfrost 60ah pedestal battery for 219L,"1,287,600",https://koolbuy-assets.s3.af-south-1.amazonaws.com/75ea71/prods/9gRtsoOT6FA4LQzIDfbWw8k3iVhBzuR1DmmnX0eb.jpg,"KOOL – Scanfrost 60Ah Pedestal Battery (For 219L Inverter Solar Freezer) The Kool - Scanfrost 60Ah Pedestal Battery is a high-performance, deep-cycle battery designed to keep your 219L inverter solar freezer running efficiently and uninterrupted – even in areas with unstable grid supply. Purpose-built for solar energy systems and low-voltage applications, this battery offers long-lasting power, excellent durability, and safe operation for both residential and commercial users. This rugged 60A..."
Kool Scanfrost 100ah pedestal battery for 519L,"1,662,370",https://koolbuy-assets.s3.af-south-1.amazonaws.com/75ea71/prods/7CqL5th2bC29IiEUyx7jFMHYpU9PRUzQrntbnGgo.jpg,"KOOL – Scanfrost 100Ah Pedestal Battery (For 519L Inverter Solar Freezer) The Kool – Scanfrost 100Ah Pedestal Battery is a high-capacity deep-cycle power solution designed to deliver uninterrupted power to your 519L inverter solar freezer. Built using advanced AGM (Absorbent Glass Mat) technology, this robust battery provides long autonomy, fast recharge capabilities and exceptional performance even in harsh environments — making it ideal for homes, supermarkets, hospitality businesses, and o..."
Kool Bruhm 60ah pedestal battery for 219L,"1,287,600",https://koolbuy-assets.s3.af-south-1.amazonaws.com/75ea71/prods/NwXHj3o0rYzb54t8qJOGOQhIrODzXFaTcASuPjsz.jpg,"KOOL – BRUHM 60Ah Pedestal Battery (For 219L Inverter Solar Freezer) The Kool – Bruhm 60Ah Pedestal Battery is a compact, high-efficiency power storage solution designed specifically for 219L inverter solar freezers. Built with advanced deep-cycle AGM technology, this battery delivers reliable and uninterrupted energy to keep your freezer running smoothly — even during prolonged power outages or in off-grid environments. With a robust pedestal structure, the unit is designed to securely suppo..."
Kool Bruhm 100ah pedestal battery for 519L,"1,662,370",https://koolbuy-assets.s3.af-south-1.amazonaws.com/75ea71/prods/EjX4boAbQDAaDx4Z5IYYK9CCXf2LEZY9bWgDaok5.jpg,"KOOL – BRUHM 100Ah Pedestal Battery (For 519L Inverter Solar Freezer) The Kool – Bruhm 100Ah Pedestal Battery is a high-capacity, deep-cycle energy storage solution engineered to power large 519L inverter solar freezers with maximum efficiency and reliability. Designed with cutting-edge AGM (Absorbent Glass Mat) technology, this heavy-duty battery delivers long-duration power, fast recharging, and outstanding performance even in areas with unstable or no grid supply. Its specially designed pe..."
Koolboks 538L Refurbished,"1,538,000",https://koolbuy-assets.s3.af-south-1.amazonaws.com/75ea71/prods/Ci6YVkS8DekxDfViUumJFHYaA1Mw6ryOEol4YMnp.jpg,"KOOLBOKS REFURBISHED 538L FREEZER – PRODUCT DESCRIPTION Experience powerful cooling, extra-large storage, and dependable performance with the Koolboks Refurbished 538L Chest Freezer . Built for homes, businesses, restaurants, and stores that need massive space and reliable freezing, this refurbished model delivers premium value at an affordable price. Key Features Huge 538L Capacity – Perfect for bulk storage of food, drinks, frozen items, and commercial use. Efficient Cooling System – Fast f..."
Koolboks 200L Refurbished,"345,500",https://koolbuy-assets.s3.af-south-1.amazonaws.com/75ea71/prods/X314aXZGmqhAUpTcDPqt7Zru9iIUw3HvlG0U7TXF.jpg,"KOOLBOKS 200L REFURBISHED FREEZER – PRODUCT DESCRIPTION Get reliable cooling, strong performance, and excellent value with the Koolboks 200L Refurbished Chest Freezer . Designed for both home and small business use, this freezer delivers quality storage at an affordable price. Key Features 200-Litre Capacity – Ideal for families, small shops, and frozen food vendors. Fast Freezing Technology – Ensures food, drinks, and perishables freeze quickly and stay preserved. Energy Efficient – Built to..."
Koolboks 208L Refurbished,"610,000",https://koolbuy-assets.s3.af-south-1.amazonaws.com/75ea71/prods/xuU1Al6Y7obPi20vxPjYmiHQ01vhd1kWFDhE3eva.jpg,"KOOLBOKS 208L REFURBISHED CHEST FREEZER – PRODUCT DESCRIPTION Enjoy dependable cooling, solid performance, and great affordability with the Koolboks 208L Refurbished Chest Freezer . Built for homes, shops, and small businesses, this freezer offers excellent storage capacity and reliable temperature control—without the high cost of a brand-new unit. ⭐ Key Features 208-Litre Capacity – Perfect size for household use, small shops, frozen food vendors, and backup storage. Quick Freezing Function ..."
